ticker,ten_to_chuc,nguon,ten_thong_dung_en,ghi_chu
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TPHCM (CII),CRA,CII,"cbonds ghi ""T.P Ho Chi Minh"" nen khong khop tu dong"
VSC,Công ty Cổ phần Container Việt Nam,CRA,Viconship,Viconship
CTD,Công ty Cổ phần Xây dựng Coteccons,CRA,Coteccons,Coteccons
PVP,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,CRA,PVTrans Pacific,PVTrans Pacific
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,CRA,Becamex IDC,"cbonds co hau to ""ten cu:..."" nen khong khop"
OIL,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,CRA,PVOIL,PVOIL - khong co trong cbonds
POW,PetroVietnam Power Corporation,Fitch,PV Power,slug petrovietnam-power-corporation-joint-stock-company
BSR,Petrovietnam Refining and Petrochemical Corporation,Fitch,Binh Son Refining and Petrochemical (BSR),slug binh-son-refining-petrochemical -> BSR
SHB,Saigon - Hanoi Commercial Joint Stock Bank,Fitch,SHB,SHB
BVB,Viet Capital Commercial Joint Stock Bank,Fitch,BVBank (Ban Viet Bank),Ngan hang Ban Viet
VAB,Vietnam Asia Commercial Joint Stock Bank,Fitch,VietABank,VietABank
NAB,Nam A Commercial Joint Stock Bank,Fitch,Nam A Bank,Nam A Bank
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,Fitch,HDBank,HDBank
VCB,Joint Stock Commercial Bank For Foreign Trade of Vietnam,Fitch,Vietcombank,Vietcombank
CTG,Vietnam Joint Stock Commercial Bank for Industry and Trade,Fitch,VietinBank,VietinBank
MBB,Military Commercial Joint Stock Bank,Fitch,MB Bank,MB Bank
TCB,Vietnam Technological and Commercial Joint Stock Bank,Fitch,Techcombank,Techcombank
ACB,Asia Commercial Joint Stock Bank,Fitch,ACB,ACB
STB,Saigon Treasure Commercial Joint Stock Bank,Fitch,Sacombank,"slug saigon-thuong-tin -> Sacombank (Fitch dich ""Thuong Tin"" thanh ""Treasure"")"
GAS,PetroVietnam Gas Joint Stock Corporation,Fitch,PV GAS,PV GAS
